Division,TLE,Name,NORAD,COSPAR,Nonoperational,Comments
Astrophysics,ROSAT,ROSAT,20638,1990-049A,decayed,
Planetary,Rosetta,Rosetta,28169,2004-006A,,
Astrophysics,RXTE,RXTE,23757,1995-074A,past,
Astrophysics,SAC-B,SAC-B,24645,1996-061A,decayed,
Earth,SAGE III - ISS,SAGE III - ISS,,,shuttle payload,
Earth,SAGE III å´__ Meteor-3M,SAGE III å´__ Meteor-3M,27001,2001-056A,past,
Heliophysics,SAMPEX,SAMPEX,22012,1992-038A,decayed,
Earth,Seasat 1,Seasat 1,10967,1978-064A,past,
Earth,SeaStar (SeaWiFS),SeaStar (SeaWiFS),24883,1997-037A,past,
Earth,SeaWinds (ADEOS II),SeaWinds (ADEOS II),27597,2002-056A,,
Astrophysics,SIM,SIM,,,studied,
Earth,SIR-C,SIR-C,,,Shuttle payload,
Earth,SMAP,SMAP,,,development,
Earth,SMS,SMS,7298,1974-033A,past,
Heliophysics,SNOE,SNOE,25233,1998-012A,past,
Astrophysics,SOFIA,SOFIA,,,plane,
Heliophysics,SOHO,SOHO,23726,1995-065A,,
Heliophysics,Solar Dynamics Observatory (SDO),Solar Dynamics Observatory (SDO),36395,2010-005A,,
Heliophysics,Solar Orbiter,Solar Orbiter,,,under study,
Heliophysics,Solar Probe Plus,Solar Probe Plus,,,under study,
Earth,SORCE,SORCE,27651,2003-004A,,
Heliophysics,Space Environment Testbeds,Space Environment Testbeds,,,development,
Heliophysics,Spartan 201,Spartan 201,25521,1998-064C,decayed,
Astrophysics,Spitzer,Spitzer,27871,2003-038A,,SIRTF
Earth,SRTM,SRTM,,,shuttle payload,
Astrophysics,ST-7 / Lisa Pathfinder,ST-7 / Lisa Pathfinder,,,development,
Heliophysics,ST5,ST5,28980,2006-008A,past,"ST5-A: A, B, C"
Planetary,Stardust,Stardust,25618,1999-003A,past,
Planetary,Stardust-NExT,Stardust-NExT,25618,1999-003A,past,same as STARDUST
Heliophysics,STEREO,STEREO,29510,2006-047A,,"STEREO A: A, B"
Planetary,Surveyor,Surveyor,2185,1966-045A,decayed,SURVEYOR 1: 1-7
Astrophysics,Suzaku (Astro-E2),Suzaku (Astro-E2),28773,2005-025A,,
