SATELLITE                ,  earth-resource, education, engineering, geodetic, goes, science, space-stations, tdrss, weather
ORIZURU (DEBUT)          ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
ORSTED                   ,                ,          ,            ,         ,     , science,               ,      ,        ,
PARASOL                  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
PICARD                   ,                ,          ,            ,         ,     , science,               ,      ,        ,
PICOSAT 1 & 2 [TETHERED] ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PICOSAT 3                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PICOSAT 4                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PICOSAT 5                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PICOSAT 6                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PICOSAT 9                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PLEIADES 1A              ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
POLAR                    ,                ,          ,            ,         ,     , science,               ,      ,        ,
PRISMA (MANGO)           ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PRISMA (TANGO)           ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PROBA-1                  ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PROBA-2                  ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
PROGRESS-M 16M           ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
QUAKESAT                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
QUICKBIRD 2              ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
QUIKSCAT                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RADARSAT-1               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RADARSAT-2               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RAIKO                    ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
RAPIDEYE 1               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RAPIDEYE 2               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RAPIDEYE 3               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RAPIDEYE 4               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
RAPIDEYE 5               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
